Product Name,Price,Quantity,Store,Image
Electrolit Suero Oral Rehidratante con Sabor a Flor de Jamaica,9500,1 X 625 mL,Rappi,https://images.rappi.com/products/bce75fa3-5fe6-49a1-9dbb-1c3288e3f4ef.jpg?d=300x300&e=webp&q=10
Pedialyte Suero Oral Max Sabor a Manzana,7800,1 X 500 mL,Rappi,https://images.rappi.com/products/5c914494-ccd2-4682-8b9d-db4cb3a8fb7c.jpg?d=300x300&e=webp&q=10
Electrolit Suero Rehidratante Sabor a Coco,8600,1 X 625 mL,Rappi,https://images.rappi.com/products/0190f008-f855-441b-a170-9c8e870d90af.jpg?d=300x300&e=webp&q=10
Hidraplus Suero Oral 45+Zinc Sabor Fresa,11400,1 X 400 mL,Rappi,https://images.rappi.com/products/813b1fe8-4661-42d4-9241-7b85f5309595.jpg?d=300x300&e=webp&q=10
Pedialyte Active Suero Rehidratante Sabor Cereza,7800,1 X 500 mL,Rappi,https://images.rappi.com/products/ffeb5397-349e-4e84-a8f9-d3140ba3f5b0.jpg?d=300x300&e=webp&q=10
Pedialyte Active Rehidratante Sabor a Coco,7800,1 X 500 mL,Rappi,https://images.rappi.com/products/0f202072-d071-4871-84ab-782bc30efb8a.jpg?d=300x300&e=webp&q=10
Pedialyte Bebida Electrolítica con Zinc Sabor Coco,7800,1 X 500.0 mL,Rappi,https://images.rappi.com/products/7a9bc2fb-e2ab-4536-9e56-1b3903cf73ff.jpg?d=300x300&e=webp&q=10
Mk Loperamida Hci tabletas (2 mg) ,10400,1 X 6.0 Und,Rappi,https://images.rappi.com/products/850355509971_qhrklalejsyg_510017739630_pwhvrjqgujnw_3628_1.png?d=300x300&e=webp&q=10
Baxter Suero Fisiológico (0.9 %) 100 mL,3850,1 X 100 mL,Rappi,https://images.rappi.com/products/654107587596_zjujsanolmol_100988550958_fuexjoxrblvy_8025_1.png?d=300x300&e=webp&q=10
Gastrum Sachet Plux Hidrotalcita Sabor a Menta,2800,1 x Und,Rappi,https://images.rappi.com/products/db5e165a-d571-472e-a17c-6378646da9a6.png?d=300x300&e=webp&q=10
Gaviscon Suspensión Oral Doble Acción Sachet,38900,12 X 10.0 mL,Rappi,https://images.rappi.com/products/8df9049a-03d2-48c8-9612-6a624fdd98aa.jpg?d=300x300&e=webp&q=10
Travad Solución Rectal,25750,1 X 133.0 mL,Rappi,https://images.rappi.com/products/871089003453_zeozjigodoki_932410327816_bpihmpybtxew_5025_1.png?d=300x300&e=webp&q=10
Pedialyte Active 30 Zinc Manzana 500Ml,7800,1 X 500 mL,Rappi,https://images.rappi.com/products/406216c6-4a27-4326-8ecf-c96969599266.jpg?d=300x300&e=webp&q=10
La Santé Lansoprazol (30 mg) 7 Cápsulas,6800,1 X 7 Und,Rappi,https://images.rappi.com/products/2090613237-1592602018417.png?d=300x300&e=webp&q=10
Vonau Flash (8 mg),95950,1 X 8 mg,Rappi,https://images.rappi.com/products/f5795afd-5991-43ef-9970-0b19f79098eb.jpg?d=300x300&e=webp&q=10
Rhifisol Suero Fisiológico Gotas Nasales,7200,1 X 30 mL,Rappi,https://images.rappi.com/products/730714301558_rlzvyygaycwu_975055183162_dnvtktzthfmv_5881_1.png?d=300x300&e=webp&q=10
Ciruelax (125 mg),35850,1 X 24 Und,Rappi,https://images.rappi.com/products/37f1f9a0-454e-47ab-9809-f6420ad1df62.jpg?d=300x300&e=webp&q=10
Antax Antiinflamatorio Suspensión de Caléndula Fitoterapia,25200,1 X 170 mL,Rappi,https://images.rappi.com/products/684380747147_fsgycddtjaaa_110178281812_pmhiidsfadty_24120_1.png?d=300x300&e=webp&q=10
Stamyl Forte Digestivo y Antiflatulento ,85200,1 X 20 Und,Rappi,https://images.rappi.com/products/8f5b96f8-dda6-4889-9616-2f82391eb853.jpg?d=300x300&e=webp&q=10
Ciruelax Cassia Angustifolia (4.4 g),35600,1 X 150 g,Rappi,https://images.rappi.com/products/451965506653_oysmgzgifzdj_454232046358_bdjrvhbwkabe_2773_1.png?d=300x300&e=webp&q=10
"Electrolit Suero Oral Rehidratante con Sabor a Manzana
",9500,1 X 625.0 mL,Rappi,https://images.rappi.com/products/adc47c2f-f55b-4f5c-a5cf-9c714feabf82.jpg?d=300x300&e=webp&q=10
Synthroid (50 mcg),95250,1 X 90 Und,Rappi,https://images.rappi.com/products/651135764225_bbohggtwhptt_962116234142_dxhmieglogwf_1555691_1.jpeg?d=300x300&e=webp&q=10
"Stamyl (175 mg / 50 mg / 40 mg  / 25 mg)
",72600,1 X 20 Und,Rappi,https://images.rappi.com/products/4d6bd1a1-52fc-44b0-b72e-9c11f3e8f7a5.jpg?d=300x300&e=webp&q=10
Dulcolax (5 mg),18000,1 X 20 Und,Rappi,https://images.rappi.com/products/25b78a9b-ae69-45fa-be8b-cc60008eddbe.webp?d=300x300&e=webp&q=10
