Product Name,Price,Quantity,Store,Image
PAPEL ALUMINIO CAJA  T/L/D TODOS LOS DIAS SIN REF,4980,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24074835-300-auto/PAPEL-ALUMINIO-CAJA-TLD-TODOS-LOS-DIAS-SIN-REF-1740592_a.jpg?v=638588579693200000
Jabon REY BARRA LIQUIDO ORIGINAL (2  lt),17340,1,Exito,No image found
Toalla reutilizable SCOTT Rollo duramax (3  und),29400,1,Exito,No image found
Suavizante SUAVITEL Cuidado Superior Fresca Primavera (5600  ml),32500,1,Exito,No image found
Servilletas FAMILIA blanca medíanas (100  und),2632,1,Exito,No image found
Toalla de cocina  T/L/D TODOS LOS DIAS  (120  und),3930,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24492375-300-auto/TOALLA-COC-2HX1-120H-TLD-TODOS-LOS-DIAS-1-Unidad-1763127_a.jpg?v=638613269090770000
Limpia Pisos FABULOSO Antibacterial Lavanda (1000  ml),9950,1,Exito,No image found
Blanqueador BLANCOX  (3800  ml),11960,1,Exito,No image found
Bolsa Basura Industrial 65x100 T/L/D TODOS LOS DIAS SIN REFER,4470,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24077478-300-auto/Bolsa-Basura-Industrial-65x100-TLD-TODOS-LOS-DIAS-SIN-REFER-3008975_a.jpg?v=638588607690170000
Detergente En Polvo FAB Ultra Flash (3000  gr),21595,1,Exito,No image found
Papel higiénico SCOTT 24 Rollos 3 hojas cuidado completo (672  mts),25600,1,Exito,No image found
Toallas de manos FAMILIA Green desechables (1  und),5504,1,Exito,No image found
Servilletas FAMILIA Expert blanca (200  und),8600,1,Exito,No image found
Detergente En Polvo ARIEL Triple Poder (2000  gr),22462,1,Exito,No image found
Papel EXITO MARCA PROPIA  (504  mts),21950,1,Exito,No image found
Limpiapisos T/L/D TODOS LOS DIAS  (2000  ml),4950,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/25594191-300-auto/Limpiapisos-Desinfecta-Lavanda-TLD-TODOS-LOS-DIAS-SIN-REF-1753280_a.jpg?v=638677114523830000
Rollos ROSAL PAPEL HIGIENICO TRIPLE HOJA 25 (600  mts),24000,1,Exito,No image found
Suavizante DOWNY Brisa de Verano Suavizante de Ropa (500  ml),16050,1,Exito,No image found
toalla de cocina  T/L/D TODOS LOS DIAS  (50  und),1770,1,Exito,No image found
Detergente Líquido ARIEL Doble Poder Concentrado (1800  ml),33215,1,Exito,No image found
DETERGENTE BLANCOX  (3800  ml),29100,1,Exito,No image found
Servilletas FAMILIA Acolchamax normal blanca (300  und),8960,1,Exito,No image found
Mega esponja  ETERNA pague 2 lleve 4  (2  und),6250,1,Exito,No image found
Detergente Líquido FAB Ultra Flash Mega Pack (1800 ml),20370,1,Exito,No image found
PAPEL HIGIENICO EXITO MARCA PROPIA  (384  mts),18940,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24447508-300-auto/Papel-Higienico-Premium-3HX12-EXITO-MARCA-PROPIA-384-mts-3264842_a.jpg?v=638609459984900000
Lavaloza LOZA CREM  (850  ml),12112,1,Exito,No image found
Costilla de res  corriente,15900,1,Exito,No image found
Pecho o carne de res para sudar  fresco,26670,1,Exito,No image found
Molida de res TAEQ fresco (450  gr),15250,1,Exito,No image found
Tilapia roja o mojarra roja  fresca,9950,1,Exito,No image found
Caderita de res o solomo extranjero  asar,33080,1,Exito,No image found
Pechuga Pollo Campesina Marina AQUA,17400,1,Exito,No image found
Pierna de cerdo o milanesa  fresco,17520,1,Exito,No image found
Filete de salmón   premium,24375,1,Exito,No image found
Chuleta de cerdo  fresca,11450,1,Exito,No image found
Filete de pechuga de pollo POLLOCOA empaque individual x10und (950  gr),29900,1,Exito,No image found
Lomo caracha o solomo redondo  fresco,41200,1,Exito,No image found
Muslo o pierna de pollo FRESCAMPO congelados (800  gr),8900,1,Exito,No image found
Tocino  económico,17900,1,Exito,No image found
Molida de res 80/20  fresca,14035,1,Exito,No image found
Pollo FRIKO sin visceras congelado,19400,1,Exito,No image found
Espinazo de cerdo  fresco,10200,1,Exito,No image found
Pollo entero  PROMOCION despresado (1800  gr),24300,1,Exito,No image found
Filete de pechuga de pollo POLLOCOA marinado x5und (475  gr),13200,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/25597951-300-auto/Filete-de-Pechuga-Marinado-x-5-und-POLLOCOA-475-gr-3513169_a.jpg?v=638677295936900000
Posta selecto o ampolleta  fresco,16200,1,Exito,No image found
Cañón o lomo de cerdo  fresco,10250,1,Exito,No image found
Pepino de res o tableado  fresco,22800,1,Exito,No image found
