Product Name,Price,Quantity,Store,Image
OREGANO SPECIARIA 20 G,1990,"20 g (g a $ 99,5)",D1,No image found
PAPRIKA SPECIARIA 28 G,1600,"28 g (g a $ 57,14)",D1,No image found
PASTA DE AJO DELIKA 110 G,2490,"110 g (g a $ 22,64)",D1,No image found
PASTA DE CEBOLLA LARGA DELIKA 110 G,2490,"110 g (g a $ 22,64)",D1,No image found
PASTA DE PIMENTÓN DELIKA 110 G,2490,"110 g (g a $ 22,64)",D1,No image found
PIMIENTA MOLIDA SPECIARIA 28 G,1490,"28 g (g a $ 53,21)",D1,No image found
SAL REFISAL 1000 G,2490,"1000 g (g a $ 2,49)",D1,No image found
SEMILLAS SPECIARIA 150G,5990,"150 g (g a $ 39,93)",D1,No image found
TOMILLO SPECIARIA 20 G,2200,20 g (g a $ 110),D1,No image found
COLOR ESPECIARIA 40 G,990,"40 g (g a $ 24,75)",D1,No image found
ACEITUNA DES/PIMIEN BOLSA AINOA 180 GR,3300,"180 g (g a $ 18,33)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000914.png
ACEITUNA EN LATA AINOA 200 GR,4350,"85 g (g a $ 51,18)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000915.png
ALCAPARRAS EN VINAGRE AINOA 125 GR,3990,"65 g (g a $ 61,38)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000417.png
ATÚN ACEITE DE OLIVA CARLO FORTE 160 G,7490,"104 g (g a $ 72,02)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000590.png
ATÚN EN ACEITE CARLO FORTE 170 G NETO,5450,"110.5 g (g a $ 49,32)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004360.png
ATÚN EN AGUA CARLO FORTE 170 G NETO,4450,"110.5 g (g a $ 40,27)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004370.png
ATÚN RALLADO EL NAVÍO 170 G,3450,"111 g (g a $ 31,08)",D1,No image found
CEREZAS MARRASCHINO AINOA 125 G,5250,75 g (g a $ 70),D1,No image found
CHAMPIÑONES TAJADOS COOLTIVO 280 G,5200,"170 g (g a $ 30,59)",D1,No image found
CHILE CON CARNE CRACHOS 300 G,6950,"300 g (g a $ 23,17)",D1,No image found
CONSERVA DE PESCADO CARLO FORTE 400 GRS,6990,"400 g (g a $ 17,48)",D1,No image found
CONSERVA DE PESCADO EN TINAPA 155 G NETO,3700,"101 g (g a $ 36,63)",D1,No image found
DUOPACK ATÚN A.OLIVA CF 160 G NETO,7990,"104 g (g a $ 76,83)",D1,No image found
DUOPACK ATÚN EN AGUA C F 160 G NETO,6990,"104 g (g a $ 67,21)",D1,No image found
DURAZNO EN ALMÍBAR COOLTIVO 820 G,10950,"470 g (g a $ 23,3)",D1,No image found
ENSALADA ATÚN CON VEGETALES Y MAÍZ CARLO FORTE ...,5990,"120 g (g a $ 49,92)",D1,No image found
ENSALADA CAMPESINA COOLTIVO 300 G,4400,"190 g (g a $ 23,16)",D1,No image found
FRIJOL REFRITO CRACHOS 300 G,6950,"300 g (g a $ 23,17)",D1,No image found
FRÍJOLES ANTIOQUEÑOS COOLTIVO 300G,5450,"300 g (g a $ 18,17)",D1,No image found
LYCHEES EN CONSERVA COOLTIVO 567 G NETOS,11950,"230 g (g a $ 51,96)",D1,No image found
MAÍZ TIERNO COOLTIVO 340 G,4990,"285 g (g a $ 17,51)",D1,No image found
PIMENTONES ASADOS 185G,6990,"185 g (g a $ 37,78)",D1,No image found
PIÑA EN TROZOS AINOA 520 G,7950,"312 g (g a $ 25,48)",D1,No image found
SALCHICHA VIENA VIANDÉ 150 G,3200,"95 g (g a $ 33,68)",D1,No image found
TOMATES ENTEROS PELADOS DELIZIARE 400 G,4490,"240 g (g a $ 18,71)",D1,No image found
TOMATES SECOS AINOA 180 G,9250,"100 g (g a $ 92,5)",D1,No image found
CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,1250,250 g (g a $ 5),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000103.png
CABELLO DE ÁNGEL DORIA 250 G,2150,"250 g (g a $ 8,6)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003263.png
CONCHA CAPRÍSSIMA 250 GRS,1250,250 g (g a $ 5),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000067.png
CONCHAS DORIA 250 G,2150,"250 g (g a $ 8,6)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003260.png
FUSILLI DELIZIARE X 500 G,3990,"500 g (g a $ 7,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005193.png
MACARRÓN CON SALSA DE QUESO DORIA 210 G,3990,210 g (g a $ 19),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003335.png
PENNE DELIZIARE 500 G,3990,"500 g (g a $ 7,98)",D1,No image found
SPAGUETTI CAPRÍSSIMA 250 GRS,1250,250 g (g a $ 5),D1,No image found
SPAGHETTI DELIZIARE 500 G,3990,"500 g (g a $ 7,98)",D1,No image found
SPAGHETTI DORIA 250 G,2150,"250 g (g a $ 8,6)",D1,No image found
